event_id,ticker,event_date,announcement_type,firm_size_log,firm_size_source,sector,sector_source,alpha,beta,CAR_short,CAR_long,sector_binary
0001213900-25-006029:ea022857801ex99-1_xtiaero.htm,XTIA,2025-01-23,R&D,17.864367815566297,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.01825190439523509,1.3979984776318641,0.12396465049563588,0.2866241107309034,Non-Technology
0001493152-25-011263:ex99-1.htm,AIMD,2025-07-16,partnership,16.097366376457202,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.006975382095370368,0.7725607323728563,-0.08015013171471229,0.17312178101444795,Technology
0001403161-25-000077:q42025earningsrelease.htm,V,2025-10-28,M&A,27.250612500282347,Index reference (Step 2),Financials,GICS (S&P 500),-0.001052098986724012,0.8812257995618704,-0.008030251645028727,-0.028295573973078053,Non-Technology
0001493152-24-006806:ex99-1.htm,AITX,2024-02-15,R&D,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.002064453993602526,1.5996727450954302,0.06440577467500395,0.02542327210834234,Non-Technology
0001654954-25-003501:smc_ex991.htm,FYNN,2025-03-28,M&A,12.542591309645042,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.004420822166435021,1.0154978348806398,-0.46552405726369,-0.10489719509842492,Technology
0001213900-26-056656:ea029093501ex99-1.htm,AIRE,2026-05-14,R&D,15.810171278568507,Direct gap-fill (yfinance),Real Estate,Direct gap-fill (yfinance),-0.0026381208182593343,3.9988749397703147,-0.04147697912924189,0.09032382482700044,Non-Technology
0001493152-24-052582:ex99-1.htm,AITX,2024-12-31,R&D,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.006723141961483829,0.21394116306023211,0.7677000596366571,0.42829491141515474,Non-Technology
0001493152-24-028109:ex99-1.htm,SLNH,2024-07-17,R&D,19.075356166022452,Direct gap-fill (yfinance),Financial Services,Direct gap-fill (yfinance),-0.0016946860014579943,1.2064627243665254,-0.010693366103104784,-0.2655781898640124,Non-Technology
0001683168-25-005889:kinetic_ex9901.htm,KSEZ,2025-08-11,R&D,14.65204137550842,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.027825663734285095,0.6713928014561523,0.2540273905912972,-0.42126703029360674,Technology
0001654954-26-003581:onfo_ex991.htm,ONFO,2026-04-16,M&A,13.22885625170205,Direct gap-fill (yfinance),Communication Services,Direct gap-fill (yfinance),-0.004849750239402286,2.969917091582132,-0.09085308684544058,-0.8352902544944978,Technology
0001641172-25-020247:ex99-01.htm,ADTI,2025-07-18,M&A,16.886531827417382,Direct gap-fill (yfinance),Consumer Defensive,Direct gap-fill (yfinance),0.010883373584924964,-1.3600188951309071,0.5107441012303441,0.09424860770141578,Non-Technology
0001171843-26-004879:exh_991.htm,BAM,2026-07-27,R&D,25.070758823938153,Direct gap-fill (yfinance),Financial Services,Direct gap-fill (yfinance),-0.0017310817177086518,1.442761470146434,0.008692583715071742,0.009493475617508493,Non-Technology
0001868419-25-000038:exhibit991121625.htm,CYCU,2025-12-19,partnership,16.136800224633827,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.008980761403833496,1.6831415491409116,-0.033956825777739105,-0.06841037117438516,Technology
0001493152-26-006938:ex99-1.htm,INLX,2026-02-17,R&D,17.015007499344204,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.003408379752529572,-0.40536842518027794,-0.0338350576541866,-0.005527223691813014,Technology
0001193125-26-297985:pdyn-ex99_1.htm,PDYN,2026-07-08,R&D,19.325252257253528,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.0009743721185111898,2.855810092114705,-0.11018425558977465,-0.08768122996272501,Technology
0001731122-25-000312:e6390_ex99-1.htm,LNAI,2025-02-28,M&A,15.989778867168999,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.0017572149524102696,1.5209949751882412,-0.095189630258753,-0.79342997421062,Non-Technology
0001683168-25-003853:kinetic_ex9901.htm,KSEZ,2025-05-20,partnership,14.65204137550842,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.015395127540027913,0.7239865465918724,0.5106411467978311,1.0210879848335959,Technology
0001437749-25-029311:ex_862212.htm,ATLC,2025-09-17,M&A,21.19001256825323,Direct gap-fill (yfinance),Financial Services,Direct gap-fill (yfinance),-0.001557412975695302,1.6089372969791533,-0.03980287092743293,-0.2518533639255384,Non-Technology
0001493152-25-012294:ex99-1.htm,CCLD,2025-08-25,M&A,18.456846719218007,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.00046687838464434805,1.5872184647703589,0.1674851669845695,0.07322244217270708,Non-Technology
0001493152-24-004894:ex99-1.htm,OMQS,2024-02-05,M&A,14.366523735035248,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.011534406064454552,-0.5847624137765987,-0.03698091672489005,0.49557406085911093,Technology
0001641172-25-004561:ex99-1.htm,NGTF,2025-04-14,M&A,16.306891620105553,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.0027496749215732944,-0.6187648321541478,-0.12862695716653696,-0.10850955803896574,Non-Technology
0001393883-25-000113:a2025-11dhisharebuybackpro.htm,DHX,2025-11-06,M&A,19.018779214521775,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.007345115114852302,0.32819900854677536,-0.060662871608310534,-0.3788342676060968,Technology
0001628280-26-005848:exhibit9912526.htm,CYCU,2026-02-05,M&A,16.136800224633827,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.0028085446116549663,1.294604913418109,0.11794962079949281,-0.05175868591330096,Technology
0001013762-25-002818:ea023576601ex99-1_spectral.htm,MDAI,2025-03-26,partnership,17.713985643368744,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.004847717905527235,0.9391553779669038,-0.14236715050217427,-0.25307554795017007,Non-Technology
0001140361-24-008680:ef20022054_ex99-1.htm,ADMA,2024-02-21,R&D,21.396616954028634,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.0016742303739440078,1.0634836214082737,0.0182306153202041,0.11500614778979006,Non-Technology
0001437749-24-030846:ex_730613.htm,TSSI,2024-10-08,M&A,19.444905751720107,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.020258822464206457,1.9702749020379668,-0.10536058329059841,-0.3660113593527373,Technology
0001213900-26-051028:ea0288766-8k_advanced.htm,ADVB,2026-05-01,R&D,16.39701927997684,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),-0.004490144626561795,-0.31104001488202837,0.2895448680412843,0.10032122994753528,Non-Technology
0001477932-26-000975:btbd_ex991.htm,BTBD,2026-02-23,M&A,15.803107333352289,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),0.0026894702084627096,3.838355696605001,-0.06316611809606135,0.5264241943521984,Non-Technology
0001493152-24-011349:ex99-1.htm,WAST,2024-03-26,M&A,13.859091941865463,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),0.00587792202112047,-0.8614276230015844,-0.08240047278986007,-0.26096320739953194,Non-Technology
0000950170-25-096670:phun-ex99_1.htm,PHUN,2025-07-17,R&D,17.580055213977218,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.002012292824296667,1.6108128850308996,-0.01768782241680271,-0.21864876025889182,Technology
0001493152-25-029162:ex99-1.htm,AITX,2025-12-29,R&D,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.004641272971438692,1.499461591457913,-0.04725053240159351,-0.3100889914668642,Non-Technology
0001213900-26-069854:ea029518501ex99-1.htm,AMBO,2026-06-18,partnership,15.549541509697699,Direct gap-fill (yfinance),Consumer Defensive,Direct gap-fill (yfinance),-0.0037650096408267933,1.205375864613744,0.04464691582449097,-0.05138323208638787,Non-Technology
0001437749-25-029602:ex_821457.htm,LGL,2025-09-22,M&A,17.626563484535374,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.0006075327195196366,0.5268142922920833,0.03228021247544387,-0.11514056106107878,Technology
0001213900-25-119436:ea026862401ex99-1_triller.htm,ILLR,2025-12-09,R&D,16.77480651832306,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.003162280615940408,1.3340178759317376,0.26759924518414613,-1.3857814544180558,Technology
0001493152-24-040371:ex99-1.htm,AITX,2024-10-08,R&D,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),0.0057432279651796385,0.6969451326312097,-0.05975839477986425,0.05750844086090483,Non-Technology
0001493152-24-009491:ex99-1.htm,ODYS,2024-03-11,M&A,18.07537373944617,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.009393477343207751,-1.8396033745147218,0.020901898075419013,0.13970774099161343,Technology
0001628280-25-008136:pstg-ex991q4fy2025.htm,P,2025-02-26,R&D,23.967875192910075,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.0002688466988472935,2.176595714142994,-0.18212460905195763,-0.12531023950893333,Technology
0001213900-26-058717:ea029141201ex99-1.htm,AMBO,2026-05-19,partnership,15.549541509697699,Direct gap-fill (yfinance),Consumer Defensive,Direct gap-fill (yfinance),-0.006189372958804592,1.6665157990690043,-0.14558705279157308,-0.05226087166063178,Non-Technology
0001437749-26-023245:ex_986209.htm,AZIO,2026-07-10,M&A,16.90697246879255,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.033143811766741846,1.4084505448236264,-0.08254961241291298,-0.765377593877614,Technology
0001840856-24-000033:soun-20241022ex992financia.htm,SOUN,2024-10-22,R&D,21.705599941101468,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.004963279175969593,3.2976482484917744,0.02538413978369383,0.7923905480117688,Technology
0001062993-25-015375:exhibit99-1.htm,AITX,2025-09-08,R&D,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.007178558458218575,0.9000884471772772,0.06761622094476612,0.3657872006742332,Non-Technology
0001734722-25-000004:path-20250131xex991.htm,PATH,2025-03-12,R&D,22.61203318588862,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.00015452156104967137,1.7056100043506865,-0.09913042656237522,0.001956360790701637,Technology
0001493152-26-007537:ex99-1.htm,SPAI,2026-02-20,partnership,18.220480764352786,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),0.003916404562586405,3.267233456121831,0.20170055914079393,0.1851497371398239,Non-Technology
0000045919-25-000002:exhibit991.htm,HHS,2025-01-28,R&D,16.603519770929932,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.002611468778898684,0.6632018709138119,0.05348302006028188,0.13829709021351067,Non-Technology
0001104659-25-097138:tm2528018d1_ex99-1.htm,GRDX,2025-10-06,M&A,16.82929402398672,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.006235297188793817,0.29838511593731815,0.09601077526605059,-0.2071172631227227,Non-Technology
0001062993-26-003423:exhibit99-1.htm,AITX,2026-06-30,R&D,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.006352406721054801,1.1264381077340664,-0.00403443230198586,-0.22405706679597404,Non-Technology
0001104659-26-021050:tm267374d1_ex99-1.htm,AMZN,2026-02-27,partnership,28.70308948991665,Index reference (Step 2),Consumer Discretionary,GICS (S&P 500),-0.0006364220194394728,1.7186133090598106,0.03684876615478392,0.16458911720347752,Non-Technology
0001213900-25-112157:ea026625601ex99-1_realpha.htm,AIRE,2025-11-18,R&D,15.810171278568507,Direct gap-fill (yfinance),Real Estate,Direct gap-fill (yfinance),0.01986815124687672,1.6321013601632828,-0.05634240820885322,-0.678199139761646,Non-Technology
0001868419-26-000037:exhibit991may222026.htm,CYCU,2026-05-29,M&A,16.136800224633827,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.0071009985587906594,1.4877254427052513,0.030477663705896878,-0.3559471556385641,Technology
0001413447-25-000015:projectkaratepressrelease.htm,NXPI,2025-02-10,M&A,24.780011365326253,Index reference (Step 2),Information Technology,GICS (S&P 500),-0.002857909824602163,1.8700143186808753,0.038811858261553055,0.1968656784263675,Technology
0001062993-26-003517:exhibit99-1.htm,AITX,2026-07-07,partnership,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.005977363821607334,1.1679215943052872,-0.07369705372219475,-0.21848097779419173,Non-Technology
